id	sector	region	north	centre	south_isl	rel_weight	age	group	individual_first_shr	foreign_first_shr	decentr_manag	employees	RD_empl_share	grad_empl_share	labour_flex	age_ceo	female_ceo	fam_ceo	prod_inn	proc_inn	patent	RD_inv	direct_export	dir_export_share	dir_export_eu	dir_export_outside_eu	import_goods	import_share_goods	import_goods_china_india	deloc_fdi	deloc_fdi_share	deloc_fdi_china_india	qual_cert	competitors_from_abroad	widened_prod_range	increase_margins	external_financing	local_bank	national_bank	foreign_bank	banks_number	credit_requested	credit_denied	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage	tfp_va	dimensione	areageo	sector2
7428	10	3	1	0	0	1.162582	59	0	1	0	0	28	0	0	1	5	0	1	1	0	0	1	1	15	1	1	0	0	0	1	.05	0	1	1	1	0	0	1	1	1	12	0	0	11923	7285	1633	356	.0030194	.0298583	.0488675	.0108076	3.579406	-.2831824	1	0	0
7538	25	3	1	0	0	1.113938	34	0	1	0	0	30	0	0	1	5	0	1	0	1	1	1	1	5	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	4	0	0	3377	3481	1698	92	.012141	.0272431	.0264292	.0546667	4.502666	.0767771	1	0	4
7745	25	3	1	0	0	1.113938	25	1	1	0	0	38	0	0	1	6	0	1	0	0	0	1	1	60	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	2	0	0	2385	2543	1072	225	.0951782	.0943396	.0884782	.1871393	1.9662	-.1257998	1	0	4
7678	28	3	1	0	0	.9462538	42	0	1	0	0	21	0	0	1	4	0	1	0	0	0	0	1	30	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	2	1	1	4039	2903	1056	62	-.0079228	.0153503	.0213572	-.0199005	2.511816	-.322292	1	0	7
8158	13	3	1	0	0	.8863056	51	0	1	0	0	55	7	4	1	5	0	1	1	0	0	1	1	21	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	6	0	0	8136	8453	1774	181	.0031957	.0222468	.0214125	.0150812	4.719257	-.4455136	1	0	1
7217	28	3	1	0	0	.9462538	18	0	1	0	0	12	0	0	1	5	0	1	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	1337	1732	523	83	.0448766	.0620793	.0479215	.113852	2.537002	-.3275431	0	0	7
9660	25	3	1	0	0	1.113938	17	0	0	1	0	32	0	0	1	6	1	1	0	0	0	0	1	15	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	3	0	0	4014	4311	1597	204	.0127055	.0508221	.0473208	.0573678	4.515186		1	0	4
7500	25	3	1	0	0	.6736162	13	1	0	0	0	86	0	0	0	5	0	0	0	1	0	0	1	65	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	7	0	0	42301	56786	9660	2962	.0646793	.070022	.0521607	.1348248	2.084512	.5178101	1	0	4
7686	25	3	1	0	0	1.113938	31	0	1	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	1	1	5413	3242	1274	341	.0351007	.0629965	.105182	.9895833	28.19271	-.3885594	1	0	4
9675	30	3	1	0	0	1.14242	20	0	1	0	0	20	0	0	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	1827	2127	820	30	.0164204	.0164204	.0141044	.0388601	2.36658		1	0	6
7478	32	3	1	0	0	1.04403	29	0	1	0	0	22	0	0	1	5	0	1	0	0	0	0	1	60	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	2479	2068	900	114	.0237999	.0459863	.0551257	.0576735	2.423265		1	0	9
8141	28	3	1	0	0	.9462538	64	0	1	0	0	28	0	0	1	5	0	1	1	0	0	0	1	15	1	1	1	.01	0	0	0	0	0	1	1	0	0	1	1	1	3	0	0	2853	3697	1235	11	.0003505	.0038556	.0029754	.0006329	1.805696	-.2413092	1	0	7
8352	23	3	1	0	0	1.051953	8	1	1	0	1	19	0	0	0	3	0	1	0	0	0	0	1	70	1	1	1	25	0	0	0	0	1	0	0	0	1	1	1	0	6	1	0	5147	6109	1725	539	.0481834	.1047212	.0882305	.6391752	13.26546	.2146823	1	0	3
7697	13	3	1	0	0	1.125092	76	0	1	0	0	47	10	0	1	5	0	1	1	0	1	1	1	50	1	1	1	2.8	0	0	0	0	1	1	1	0	0	1	1	0	4	0	0	14910	10663	3076	754	.0620389	.0505701	.0707118	.09193	1.481813	.0410317	1	0	1
8379	21	3	1	0	0	.5223962	9	1	1	0	1	50	0	0	0	5	0	1	1	1	0	0	1	80	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	2	0	0	37783	40040	10513	3359	.0723871	.0889024	.0838911	.1615571	2.231851	.5441124	1	0	3
7435	25	3	1	0	0	.9462538	46	0	1	0	0	19	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	3	0	0	1269	2092	499	43	.0165485	.0338849	.0205545	.2692308	16.26923	-.6276207	1	0	4
7722	25	3	1	0	0	1.113938	56	0	1	0	0	18	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2751	3428	2391	469	.126863	.1704835	.1368145	.4716216	3.717568		1	0	4
7698	24	3	1	0	0	1.113938	28	0	1	0	0	27	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	72	0	0	0	0	1	0	0	0	1	1	1	0	3	0	0	17822	14269	2189	125	-.0206486	.0070138	.0087602	-.0982644	4.758879	-.389575	1	0	4
7689	13	3	1	0	0	1.125092	30	0	0	0	0	24	0	0	1	5	0	1	1	0	0	1	1	20	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	4	0	0	2875	2518	1042	-147	-.061913	-.0511304	-.0583797	-.1024755	1.655153		1	0	1
7503	25	3	1	0	0	.6736162	26	0	1	0	0	50	0	0	1	5	0	0	1	1	0	1	1	55	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	2	0	0	12814	13871	3346	390	.0202903	.0304355	.0281162	.0480236	2.366827		1	0	4
7735	18	3	1	0	0	1.125092	42	0	1	0	0	24	0	0	1	5	0	1	1	0	0	1	1	30	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	2	0	0	1687	2448	912	91	.0527564	.0539419	.0371732	.1287988	2.441389		1	0	2
8239	25	3	1	0	0	.6736162	27	0	1	0	0	50	0	0	1	6	0	1	0	1	0	1	1	22	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	7	0	0	5763	19382	2953	411	.0357453	.071317	.0212052	.3843284	10.75187	.1361218	1	0	4
9213	25	3	1	0	0	.9462538	29	0	1	0	0	14	0	0	0	5	0	1	0	0	0	0	1	65	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	848	1278	775	294	.3207547	.3466981	.2300469	.9855072	3.072464	.1262781	0	0	4
9621	16	3	1	0	0	1.368167	55	1	1	0	0	12	0	0	1	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	3	1	1	1311	1171	624	49	.0061022	.037376	.0418446	.0243161	3.984802	-.2925297	0	0	2
8025	10	3	1	0	0	1.162582	33	0	1	0	0	30	0	0	1	5	0	1	0	1	0	0	1	60	1	1	1	76	0	0	0	0	1	1	1	0	1	0	1	1	6	0	0	3720	8036	1298	517	.127957	.1389785	.0643355	.402027	3.141892	-.0207918	1	0	0
8320	22	3	1	0	0	.9394823	14	0	1	0	0	15	0	0	1	3	0	1	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	2994	6048	1008	263	.0761523	.0878424	.0434855	.3413174	4.482036	-.0541368	0	0	3
8205	18	3	1	0	0	1.125092	31	0	1	0	0	37	0	0	1	7	0	1	0	0	0	0	1	30	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	1	0	9622	6974	1368	-978	-.0996674	-.1016421	-.1402352	-.1933078	1.939528	-.6415584	1	0	2
7168	31	3	1	0	0	1.04403	40	0	1	0	0	23	0	0	1	6	0	1	0	0	0	0	1	20	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	1	1	2081	2140	761	9	-.0567035	.0043248	.0042056	1.421687	-25.07229	-.613061	1	0	8
9617	28	3	1	0	0	.9462538	61	0	0	0	0	15	40	0	1	3	0	0	1	1	0	1	1	50	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	4	0	0	5004	2612	800	105	.003797	.0209832	.0401991	.0154723	4.074919	-.2891988	0	0	7
7453	25	3	1	0	0	.9462538	39	0	1	0	0	11	0	0	1	7	0	1	0	0	0	0	1	40	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	4	1	0	2831	990	362	44	-.0031791	.0155422	.0444444	-.0090726	2.853831	-.8847592	0	0	4
8256	25	3	1	0	0	1.113938	44	0	1	0	0	20	0	0	1	6	0	1	1	1	0	1	1	35	1	0	1	.55	0	1	.12	0	1	1	0	0	0	0	1	0	3	0	0	3475	3840	874	72	.0129496	.0207194	.01875	.0443787	3.427022	-.2228237	1	0	4
8209	20	3	1	0	0	.8400642	30	0	1	0	0	38	0	0	0	4	0	1	1	0	0	1	1	7	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	3	0	0	3697	4093	1488	320	.0202867	.0865567	.0781823	.2577319	12.70447	.5520394	1	0	3
7171	28	3	1	0	0	.9462538	35	0	1	0	0	23	0	0	1	6	0	1	1	1	0	1	1	50	1	1	1	7	0	0	0	0	1	1	0	1	1	1	1	0	10	0	0	16324	18299	2178	602	.0270767	.0368782	.032898	.2915567	10.76781	-.1705617	1	0	7
7226	25	3	1	0	0	1.113938	39	0	1	0	0	34	5	0	1	5	0	1	0	0	0	0	1	20	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	3642	5817	1363	263	.0604064	.0722131	.0452123	.2561118	4.239814		1	0	4
7191	26	3	1	0	0	1.051953	28	0	1	0	0	29	0	0	1	7	0	0	1	0	0	0	1	55	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	4	1	0	4671	3916	1313	447	.0830657	.0956969	.1141471	.2027168	2.440439		1	0	5
8187	23	3	1	0	0	.7926705	35	1	0	1	0	248	0	0	1	4	0	1	1	1	1	1	1	32	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	10	0	0	62570	86310	23222	13219	.2090778	.2112674	.1531572	.4393619	2.101427	.750475	2	0	3
8406	14	3	1	0	0	1.125092	21	0	1	0	0	33	0	0	1	4	0	1	0	0	0	1	1	12	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	4	1	0	2571	3858	862	118	.0140023	.0458965	.0305858	.433735	30.9759		1	0	1
8023	25	3	1	0	0	.6736162	25	0	1	0	1	53	35	0	1	4	0	1	1	1	0	1	1	65	1	1	1	5	0	0	0	0	1	1	1	0	1	0	1	0	5	0	0	18359	13017	2666	477	-.0084427	.0259818	.0366444	-.0237584	2.814071	-.246366	1	0	4
